05:15 0
05:20 0
05:25 0
05:30 1
05:35 0
05:40 0
05:45 0
05:50 0
05:55 0
06:00 0
06:05 0
06:10 4
06:15 2
06:20 4
06:25 15
06:30 12
06:35 30
06:40 26
06:45 36
06:50 37
06:55 30
07:00 32
07:05 7
07:10 54
07:15 36
07:20 26
07:25 18
07:30 7
07:35 13
07:40 10
07:45 17
07:50 12
07:55 14
08:00 13
08:05 20
08:10 12
08:15 11
08:20 9
08:25 13
08:30 14
08:35 14
08:40 17
08:45 8
08:50 19
08:55 26
09:00 39
09:05 18
09:10 30
09:15 21
09:20 12
09:25 6
09:30 9
09:35 3
09:40 11
09:45 4
09:50 8
09:55 9
10:00 3
10:05 4
10:10 6
10:15 4
10:20 8
10:25 8
10:30 13
10:35 5
10:40 15
10:45 22
10:50 20
10:55 17
11:00 19
11:05 12
11:10 12
11:15 9
11:20 12
11:25 10
11:30 5
11:35 9
11:40 5
11:45 15
11:50 4
11:55 4
12:00 5
12:05 8
12:10 12
12:15 6
12:20 5
12:25 4
12:30 5
12:35 3
12:40 7
12:45 3
12:50 11
12:55 17
13:00 5
13:05 4
13:10 9
13:15 9
13:20 9
13:25 14
13:30 13
13:35 15
13:40 18
13:45 26
13:50 32
13:55 45
14:00 24
14:05 21
14:10 41
14:15 18
14:20 3
14:25 11
14:30 8
14:35 17
14:40 12
14:45 7
14:50 13
14:55 4
15:00 10
15:05 3
15:10 4
15:15 7
15:20 7
15:25 12
15:30 8
15:35 8
15:40 8
15:45 7
15:50 19
15:55 12
16:00 18
16:05 9
16:10 8
16:15 7
16:20 9
16:25 5
16:30 9
16:35 4
16:40 12
16:45 8
16:50 10
16:55 13
17:00 4
17:05 8
17:10 7
17:15 7
17:20 7
17:25 4
17:30 7
17:35 10
17:40 8
17:45 15
17:50 16
17:55 24
18:00 22
18:05 21
18:10 15
18:15 24
18:20 17
18:25 19
18:30 18
18:35 21
18:40 18
18:45 19
18:50 7
18:55 9
19:00 7
19:05 6
19:10 3
19:15 8
19:20 7
19:25 4
19:30 3
19:35 3
19:40 5
19:45 3
19:50 4
19:55 5
20:00 4
20:05 1
20:10 3
20:15 4
20:20 2
20:25 1
20:30 1
20:35 3
20:40 2
20:45 1
20:50 3
20:55 2
21:00 0
21:05 1
21:10 2
21:15 2
21:20 0
21:25 1
21:30 0
21:35 1
22:10 0

